Question,,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,,
number,id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position,source
11,AQUEOUS-11,"Take the following hypothetical reaction into account:

$2A_(aq)_ + 4B(s) + 3C_(g)_$ ⇄ $4D_(aq)_ + E_(s)_$

If you were to write the expression for the Q quotient for this particular reaction, which one would it be?",medium,,,,$Q = [D]^4^/[A]^2^[C]^3^$,"The Q quotient is fundamentally a ratio of [products]/[reactants] at any given time of the reaction. It is often compared to the value of K to determine whether the reaction is at equilibrium or not. For this particular reaction, $Q = [D]^4^/[A]^2^[C]^3^$",,$Q = [D]^4^[E]/[A]^2^[B]^4^[C]^3^$,"The Q quotient is fundamentally a ratio of [products]/[reactants] at any given time of the reaction. It is often compared to the value of K to determine whether the reaction is at equilibrium or not. Beware that some of the involved species in the reaction are in a solid state of matter, whose concentrations are not considered when calculating Q or K.",,$Q = (4[D])^4^/(2[A])^2^(3[C])^3^$,"The Q quotient is fundamentally a ratio of [products]/[reactants] at any given time of the reaction. It is often compared to the value of K to determine whether the reaction is at equilibrium or not. The concentrations of the species are elevated to their coefficients, but these are not inclued within the concentration expressions.",,$Q = [A]^2^[C]^3^/[D]^4^$,The Q quotient is fundamentally a ratio of [products]/[reactants] at any given time of the reaction and not [reactants]/[products]. $Q = [A]^2^[C]^3^/[D]^4^$ would be the quotient you calculate for the reverse reaction.,,"Albert.io ""Brønsted–Lowry Reaction Quotients"""
12,AQUEOUS-12,"Consider a simple reaction that goes like this:

$A ⇄ B$

The reaction was at equilibrium when a student adds A (at 3 seconds) to the substance, which disturbs the equilibrium. Which of the following statement is true about the graph?",medium,,,,"The red line represents [A], which starts going down after its addition while [B] goes up until the equilibrium is reached once again.","Since A is added abruptly, [A] goes up inmeadiately at 3 seconds, but this shifts the equilibrium to the right, making the forward reaction to start, which consumes A and produces B until the equilibrium is reached again. The red line represents [A] then.",,"The blue line represents [A], which starts going up after its addition while [B] goes down until the equilibrium is reached once again.","The red line is the one that represents [A] and not the blue one. Take into account when some species is suddenly added to the system, it goes up inmediately at that point in time, but then the excess of A makes the system to consume it to produce B to reestablish equilibrium.",,"The blue line represents [A], which starts going up after its addition while [B] goes up as well until the equilibrium is reached once again.","[B] goes up after adding A, but [A] starts going down inmediately after its addition.",,There is not enough info to determine which line represents which reactant,It's possible to determine which line represents which reactant by taking into account how the equilibrium is disturbed by the addition of A.,,"Albert.io ""Graphs and Stress"""
13,AQUEOUS-13,"How would you describe the relationship between the following equilibrium constants:

$K_1_ = [P]/[R]$
$K_2_ = [P]^3^/[R]^3^$",easy,,,,$K_2_ = K_1_^3^$,"When reactions are summed up, to get the equilibrium constant of the resultant reaction, their Ks are multiplied. This is because $([P]/[R])([P]/[R])([P]/[R]) = ([P]/[R])^3^$ so in other words: $K_2_ = K_1_^3^$",,$K_1_ = K_2_^3^$,Try to relate the concentrations expressions from both reactions to understand how their constants are related to each other,,$K_2_ = 3K_1_$,This assumes that K_2_ is just 3 times K_1_ only because of their coeffiecients which is not true.,,$K_2_ = K_1_$,This assumes that both reactions have the same equilibrium constant but when the coefficients of the reaction change then the constant K changes as well.,,"Albert.io ""Equilibrium: The Meaning of a Constant"""
14,AQUEOUS-14,"How would you describe the relationship between the equilibrium constants of the following reactions:

$A ⇄ B  K_1_$
$B ⇄ A  K_2_$",easy,,,,$K_1_ = 1/K_2_$,"The second reaction is the reverse reaction of the first reaction. Given that $K_1_ = [B]/[A]$ and $K_2_ = [A]/[B]$, K_1_ is the inverse of K_2_ and viceversa: $K_1_ = 1/K_2_$
",,$K_1_ = K_2_$,"This assumes that the equilibrium constant K is the same one for the forward reaction and reverse reaction, which is not the case.",,$K_1_ = -K_2_$,"This assumes that the equilibrium constant for the reverse reaction is the same as the forward reaction but negative, which is not the case, especially because the equilibrium constant can never be a negative number.",,$K_1_ = K_2_^2^$,This is not how the equilibrium constants are related to each other. Try to write the expressions for each K and then notice how they are related to each other.,,"Albert.io ""Manipulations of the Equilibrium Constant"""
15,AQUEOUS-15,"Take the following hypothetical reactions into account:

$A ⇄ B  K_1_$
$B ⇄ C + D  K_2_$

What would the value of the equilibrium constant K_3_ for this reaction be?

$C + D ⇄ A  K_3_$

",medium,,,,$K_3_ = 1/K_1_K_2_$,"By summing up the reactions we get the reaction:
$A ⇄ C + D.$ The constant K of this reaction would be both constants multiplied: K_1_K_2_. B, being in the product side in one reaction and in the reactant side in the other, it is considered an intermediate and it's not included in this overall reaction. The reaction of which we want to calculate the equilibrium constant K_3_ is the reverse reaction:
$C + D ⇄ A  K_3_.$ Making $K_3_ = 1/K_1_K_2_$

",,$K_3_ = K_1_K_2_$,This would be the equilibrium constant for the reverse reaction of the desired reaction.,,$K_3_ = K_1_/K_2_$,"K_1_ and K_2_ when summing up both reactions get multiplied instead, so one being divided by the other wouldn't make sense in this case. ",,$K_3_ = K_1_^2^$,Try writing the expressions of each constant with the respective concentrations to ultimately determine K_3_.,,"Albert.io ""Equilibrium Constant of a Two-Step Reaction"""
16,AQUEOUS-16,"Take this reaction into consideration:

$3A_(aq)_ + 2B_(g)_$ ⇄ $C_(s)_ + 4D_(aq)_$

How would you write the K expression for the formation of A and B?",medium,,,,$K = [A]^3^[B]^2^/[D]^4^$,"The reverse reaction is the one that produces A and B, so we would have to write the K expression for it: $K = [A]^3^[B]^2^/[D]^4^$ without including C which is in solid state.",,$K = [D]^4^/[A]^3^[B]^2^$,"This would be the K for the forward reaction which instead of producing A and B, it consumes them.",,$K = [C][D]^4^/[A]^3^[B]^2^$,"Remember $K = [products]/[reactants]$. Since we're asked to get the expression for the reaction that produces A and B, that would be the reverse reaction and not the forward reaction. Besides that, C shall not be included in the expression since it's in solid state.",,$K = [A]^3^[B]^2^/[C][D]^4^$,"This would be correct but C, since it's in solid state, it's not included in the equation.",,"Albert.io ""K in a Reversible Reaction"""
17,AQUEOUS-17,"There is a system in equilibrium with this reaction:

$AB ⇄ A + B$

Then, a substance that dissociates completely like this:
$CB → C + B$ is added into the system. 

What happens to the equilibrium?",medium,,,,Equilibrium gets disturbed and it shifts to the left (starts producing more of AB),"Since more of B was indirectly added to the system, there are more products now, what makes the system shift so they get consumed now, which ends up producing more of AB.",,Equilibrium gets disturbed and it shifts to the right (starts consuming more of AB),"The equilibrium wouldn't shift to the right because there are now more products than reactants in comparison to their ratio at equilibrium, which means that AB would be produced instead of consumed now.",,Equilibrium stays undisturbed since the substance added has nothing to do with the reaction at equilibrium,"Equilibrium gets disturbed because of the presence of B, a common ion between both reactions.",,There is no way to tell what will happen,It can be inferred how the equilibrium will be disturbed by taking into account the common ion effect and the Le Chatelier's law.,,"Albert.io ""Q vs. K: Le Châtelier's Principle"""
18,AQUEOUS-18,"Analyze the following reaction:

$3A +  2B ⇄ 4C + D$

If at equilibrium all the concentrations of the species are 0.10 M, which combination of concentrations would imply that the system has shifted to the right?",medium,,,,"$[A] = 0.09 M,$ $[B] = 0.09 M,$ $[C] = 0.08 M$ and $[D] = 0.11 M$","A shift to the right implies that more products are getting produced, in which case Q < K at the moment. 

Given the concentrations at equilibrium:
$K = [C]^4^[D]/[A]^3^[B]^2^$ replacing we get: 
$K = (0.10)^4^(0.10)/(0.10)^3^(0.10)^2^$ 
$K = 1$. 

If we calculate Q with the combination of concentrations we get:
Q = $(0.08)^4^(0.11)/(0.09)^3^(0.09)^2^$ 
Q = 0.76

and since $0.76 < 1$ it is said that the equilibrium has shifted to the right.",,"$[A] = 0.08 M,$ $[B] = 0.09 M,$ $[C] = 0.10 M$ and $[D] = 0.10 M$","A shift to the right implies that more products are getting produced, in which case Q < K at the moment. 

Given the concentrations at equilibrium:
$K = [C]^4^[D]/[A]^3^[B]^2^$ replacing we get:
K = $(0.10)^4^(0.10)/(0.10)^3^(0.10)^2^$ 
$K = 1$. 

If we calculate Q with the combination of concentrations we get:
Q = $(0.10)^4^(0.10)/(0.08)^3^(0.09)^2^$ 
Q = 2.41

and since $2.41 > 1$ with this combination of concentrations the equilibrium is not shifted to the right.",,"$[A] = 0.20 M,$ $[B] = 0.20 M,$ $[C] = 0.20 M$ and $[D] = 0.20 M$","A shift to the right implies that more products are getting produced, in which case Q < K at the moment. 

Given the concentrations at equilibrium:
$K = [C]^4^[D]/[A]^3^[B]^2^$ replacing we get: 
K =$ (0.10)^4^(0.10)/(0.10)^3^(0.10)^2^$
K = 1

If we calculate Q with the combination of concentrations we get:
Q = $(0.20)^4^(0.20)/(0.20)^3^(0.20)^2^$ 
Q = 1

and since $Q = K$ with this combination of concentrations the reaction is at equilibrium.",,"$[A] = 0.14 M,$ $[B] = 0.20 M,$ $[C] = 0.18 M$ and $[D] = 0.12 M$","A shift to the right implies that more products are getting produced, in which case Q < K at the moment. 

Given the concentrations at equilibrium:
$K = [C]^4^[D]/[A]^3^[B]^2^$ replacing we get: 
K = $(0.10)^4^(0.10)/(0.10)^3^(0.10)^2^$
K = 1

If we calculate Q with the combination of concentrations we get:
Q = $(0.18)^4^(0.12)/(0.14)^3^(0.20)^2^$
Q = 1.14

and since $1.14 > 1$ with this combination of concentrations the equilibrium is not shifted to the right.",,"Albert.io ""Data at Equilibrium"""
19,AQUEOUS-19,"Take this reaction into consideration: 

$A + B ⇄ C$

The Concentration vs Time graph below shows how the reaction started being at equilibrium but then shifted at some point because of the addition of A. Which side did the reaction shifted to? Which line is B? At what time did the equilibrium was restored?",easy,,,,"The system shifted to the right to produce C, the green line is B and the equilibrium was restored at 6 seconds","At 2 seconds an amount of A was added to the system, and since it's a reactant, the system will move to consume it, shifting the equilibrium to the right, producing more of C and consuming both A and B (represented by the green line). At 6 seconds, equilibrium is reestablished, since from that point on all concentrations remain seemingly constant.",,"The system shifted to the right to produce C, the red line is B and the equilibrium was restored at 7 seconds","Even though C is being produced, the red line represents [A] and not [B] (given how at 2 seconds it's noticeable the sudden increment of A when it was added to the system). More than that, at 7 seconds the equilibrium was already restored.",,"The system shifted to the left to produce C, the green line is B and the equilibrium was restored at 6 seconds","The system produces C, so it is said that the equilibrium shifted to the right (to the products' side) and not to the left.",,"The system shifted to the left to produce C, the red line is B and the equilibrium was restored at 7 seconds","Part from the fact that A was added at 2 seconds, which is a way to identify which line is [A] and therefore identify the rest by discard.",,"Albert.io ""Defining Equilibrium"""
20,AQUEOUS-20,"Below there is a reaction at equilibrium:

$A + 2B + Heat ⇄ 3C + D$

If you wanted to increase the production of B what could be done to accomplish that?",easy,,,,Decreasing the temperature,"Since the reverse reaction is the one that produces B and it's an exothermic reaction (because it produces Heat as well), the temperature is a way to basically remove it Heat from the system, making the system to move to compensate the lack of heat by producing more of it alongside A and B.",,Adding more B,"Even though this might increase the amount of B there is in the system, it doesn't improve the production of B, if anything it makes it get consumed now since adding B shifts the equilibrium to the right, making the forward reaction to take place.",,Adding more A,The addition of A will ultimately have the opposite result.,,Increasing the temperature,"By adding Heat to the system, you're making the equilibrium shift to the right, producing more of C and D while consuming A and B.",,"Albert.io ""Le Châtelier's Principle"""
21,AQUEOUS-21,"Analyze the following equilibrium system:

$A_3_ ⇄ 3A$

The two substances (A_3_ and A) are at equilibrium, but at 2 seconds (as shown in the graph below) one of the two substances is suddenly added, disturbing the equilibrium until it's reached once again at 6 seconds. Which of the two substances is the one that was added?",easy,,,,"The blue line represents A, which started to get produced after A_3_ was added to the system, until equilibrium was reached once again.","A_3_ was the substance added to the system because in the graph it's shown that the concentration of the substance that was produced went up much more in comparison to how much of the added substance was consumed. Since the reaction is $A_3_ ⇄ 3A,$ when A_3_ is added to the system, it starts getting consumed to produce A. For each mole of A_3_ that's consumed, 3 moles of A are produced, so the ""change"" for [A] is three times as much.",,"The blue line represents A_3_, which started to get produced after A was added to the system, until equilibrium was reached once again.",A couldn't be the substance added because [A_3_] wouldn't be produced as much as the graph shows if it really were A_3_.,,"The red line represents A, which started to get produced after A_3_ was added to the system, until equilibrium was reached once again.","After the addition of the substance, the red line is going down which means that it's the one getting consumed in the reaction that's taking place.",,Cannot be determined solely on this information.,It can be determined if you take into account the stoichiometry of the reaction and the coefficients of both A_3_ and A.,,"Albert.io ""Concentration vs. Time Graphs and Equilibrium Expressions"""
22,AQUEOUS-22,Consider the graph below in which a reaction is being represented at equilibrium. What is true about it?,easy,,,,"The blue line is the product being produced and the red line is the reactant being consumed over time. At some point before reaching equilibrium, the concentration of the product gets higher than the concentration of the reactant.","In the graph, the blue line is the one which concentration gets higher over time making it the product. Before reaching equilibrium, the concentration does get higher than the reactants', and then equilibrium is reached once the concentrations stay constant.",,"The blue line is the reactant being consumed and the red line is the product being produced over time. At some point before reaching equilibrium, the concentration of the reactant gets higher than the concentration of the reactant.",The blue line cannot be representing the reactant because its concentration is getting higher over the course of the reaction.,,"The blue line is the reactant being consumed and the red line is the product being produced over time. At some point after reaching equilibrium, the concentration of the product gets higher than the concentration of the reactant.",After reaching equilibrium the concentrations stay the same.,,The blue line is the product being produced and the red line is the reactant being consumed over time. Equilibrium is never reached since the lines don't get intersected afterwards.,Equilibrium is reached at some point given how the concentrations stay the same over time.,,"Albert.io ""Forward/Reverse 3"""
