Question,,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,,
number,id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position,
11,GASEOUS-11,"Consider the following reaction: 

$A_(g)_ + 2B_(g)_$ ⇄ $4C_(g)_$

3 moles of A, 4 moles of B and 2 moles of C are at equilibrium in a $5 L$ rigid tank. What would the value of the equilibrium constant K be?",medium,,,,0.066,"Since the species of the reactions are in gaseous state, they occupy all of whichever vessel their in.

In this case, to calculate the concentration for all reactants and products: $[A] = (3/5) = 0.6 M$, $[B] = (4/5) = 0.8 M$ and $[C] = (2/5) = 0.4 M$.

Knowing this, we just write the expression for K: $K = [C]^4^/[A][B]^2^$ and replace all values
$K = (0.4)^4^/(0.6)(0.8)^2^$
$K = 0.066$.",,0.33,"This is the value you would obtain if you assumed $moles = concentration$, which is not the case. You have to calculate the concentration of each gas by dividing its moles by the volume of the tank.",,0.83,This is the value you would obtain if you forgot to elevate the concentrations to their coeffiecients in the reaction.,,0.16,This is the value you would obtain if you forgot to elevate the concentrations to their coeffiecients in the reaction and also assumed the moles given are their concentrations.,,"Albert.io ""Match K to Moles"""
12,GASEOUS-12,"A_2_B_3_  reacts to produce A and B. To make this happen, a student adds 2 moles of A_2_B_3_, 3 moles of A and 4 moles of B into a 4 L vessel. After the reaction has reached equilibrium, the student is able to measure $0.70 M$ of A_2_B_3_. What would be the value for th equilibrium constant of the formation of A and B?",hard,,,,0.0112,"First let's write the equation for the reaction: $A_2_B_3_ ⇄ 2A + 3B$.

Now we can calculate the initial concentrations for each involved substance, knowing that the vessel has a volume of 4 L: $[A_2_B_3_] = (2/4) = 0.50 M$, $[A] = (3/4) = 0.75 M$ and $[B] = (4/4) = 1.00 M$.

Since [A_2_B_3_] went from 0.50 M to 0.70 M, it was produced, meaning that the reverse reaction was the one that took place to reach equilibrium. Having changed $0.20 M$, this means that [A] changed by $-0.40 M$ and [B] changed by $-0.60 M$ given the stoichiometry of the reaction.

Now we just replace in the K expression for the formation of A_2_B_3_:

K = $[A_2_B_3_]/[A]^2^[B]^3^$
K = $(0.70)/(0.35)^2^(0.40)^3^$
K = 89.3

But since the equilibrium constant asked is for the formation of A and B:

K = 1/89.3
K = 0.0112",,89.3,This is the value for the equilibrium constant of the formation of A_2_B_3_ but the one asked is for the forward reaction.,,0.2,This is the value you would obtain if you forgot to elevate the concentrations to their coeffiecients in the reaction.,,0.62,"This is the value you would obtain if you assumed the change in concentration for all species is the same, whic is not correct.",,"Albert.io ""Determining Equilibrium Constant"""
13,GASEOUS-13,"A_3_B_2_  reacts to produce A and B. Initial concentrations and equilibrium concentrations are gathered in the following table:
What is the value for the equilibrium constant K for the formation of A and B?",hard,,,"Compound | Initial | Concentration
A_3_B_2_ | 0.040 | 1.15x10^-5^
A | 0.030 | ?
B | 0.020 | ?",1.15x10^-5^,"First let's write the equation for the reaction: $A_3_B_2_ ⇄ 3A + 2B$. 

Since [A_3_B_2_] went from 0.040 M to 0.030 M, it was consumed, meaning that the forward reaction was the one that took place to reach equilibrium.

Having changed $0.010 M$, this means that [A] changed by $0.030 M$ and [B] changed by $0.020 M$ given the stoichiometry of the reaction

Now we just replace in the K expression for the formation of A and B: 

K = $[A]^3^[B]^2^/[A_3_B_2_]$
K = $(0.0)/(0.35)^2^(0.40)^3^$
K = 89.3

But since the equilibrium constant asked is for the formation of A and B: 

K = 1/89.3
K = 0.0112",,0.04,"This is the value you would obtain if you assumed the change in concentration for all species is the same, whic is not correct.",,0.08,This is the value you would obtain if you forgot to elevate the concentrations to their coeffiecients in the reaction.,,1.15x10^-3^,This is not the right value. Try writing first the balanced equation for the reaction.,,"Albert.io ""Solving for K"""
14,GASEOUS-14,"Analyze the following reaction that's taking place at 235K:

$A_(g)_ ⇄ 2B_(g)_ $

The reaction is at equilibrium and their partial pressures are $P_A_ = 0.50 atm$ and $P_B_ = 1.11 atm$. The pressure is increased in a way that makes both partial pressures to go up by 20% at 235K. What would be the partial pressure for A when equilibrium is reached once again?",hard,,,,0.696,"First let's calculate Kp for the reaction: 

Kp = P_B_^2^/P_A_
Kp = (0.95)^2^/(0.55)
Kp = 1.64

If the partial pressures went up by 20%, this means the new initial partial pressures are: 

P_A_ = $(0.95 + 0.95x0.20)$ = $1.14 atm$
P_B_ = $(0.55 + 0.55x0.20)$ = $0.66 atm$

To know how the reaction will proceed, let's calculate Qp: 

Qp = P_B_^2^/P_A_
Qp = (1.14)^2^/(0.66)
Qp = 1.97

Since $Qp > Kp$ then the reaction that'll be taking place is the reverse reaction, producing A and consuming B.

Knowing that the Kp for the reverse reaction (we can call it K'p) is just $K'p = 1/Kp$.

Writing the expression for the new equilibrium system, being X the change in pressure:

1/Kp = $P_A_/P_B_^2^$
1/1.64 = $(0.66 + X)/(1.14 - 2X)^2^$

At this point you could either substitute X for all values to check which one's right or just solve for X (careful, you'll get two solutions): $X = 0.036 atm.$ The partial pressure of A at equilibrium is: $P_A_ = (0.66 + 0.036) = 0.696 atm$.",,2.17,"This is the value you'd get if you solved for X (being X the change in pressure) and got $1.51 atm$ as a solution. Even though it's mathematically correct, it's impossible for that to be the change, among other reasons, because it's greater than the other solution $0.036 atm$, so the equilibrium would be reached first with this last value.",,1.069,This is the partial pressure for B and not for A.,,0.55,"This assumes that the partial pressure for A in the new equilibrium system is the same one as in the previous equilibrium system, which is not the case.",,"Albert.io ""Initial Moles"""
15,GASEOUS-15,"Take the following hypothetical reactions into account:

X ⇄ Y + Z  K_1_
Y ⇄ Z +  W K_2_

What would the value of the equilibrium constant K_3_ for this reaction be?

X ⇄ 2Z + W K_3_",easy,,,,$K_3_ = K_1_K_2_$,"By summing up the reactions we get the reaction:
$X ⇄ 2Z + W K_3_$ The constant K of this reaction would be both constants multiplied: K_1_K_2_.

",,$K_3_ = 1/K_1_K_2_$,This would be the equilibrium constant for the reverse reaction of the desired reaction.,,$K_3_ = K_1_/K_2_$,"K_1_ and K_2_ when summing up both reactions get multiplied instead, so one being divided by the other wouldn't make sense in this case. ",,$K_3_ = K_1_^2^$,Try writing the expressions of each constant with the respective concentrations to ultimately determine K_3_.,,"Albert.io ""Equilibrium of the Overall Reaction"""
16,GASEOUS-16,"Analyze the following reactions that are in equilibrium:

$I A_(g)_$ ⇄ $3B_(g)_ $
$II 4C_(g)_$ ⇄ $3D_(g)_ + E_(s)_$
$III 2F_(g)_$ ⇄ $G_(g)_ + H_(g)_$
$IV 3I_(g)_$ ⇄ $J_(g)_ + 3K_(g)_$

Which one of their equilibrium wouldn't be disturbed by a change on the volume or pressure of the vessel?
",hard,,,,III,The equilibrium of the reaction $2F_(g)_ ⇄ G_(g)_ + H_(g)_$ wouldn't be disturbed if the pressure is modified because the number of gaseous moles is the same in both sides (2).,,II,"For the reaction $4C_(g)_ ⇄ 3D_(g)_ + E_(s)_$ even if there are the same number of moles on each side, only the gaseous ones are important when it comes to Kp or the equilibrium system of a reaction involving gaseous compounds. In this case there are 4 gaseous moles on the reactants side and 3 on the products side, so altering the pressure would ultimately disturb the equilibrium.",,I,"For the reaction $A_(g)_ ⇄ 3B_(g)_ $, if the pressure were raised, the equilibrium would shift to consume B and produce A. If the pressure got reduced instead, the equilibrium would shift to consume A and produce B to compensate the lack of gaseous moles in the system.",,IV,"For the reaction $3I_(g)_ ⇄ J_(g)_ + 3K_(g)_$, if the pressure were raised, the equilibrium would shift to consume J and K to produce I. If the pressure got reduced instead, the equilibrium would shift to consume I and produce J and K to compensate the lack of gaseous moles in the system.",,"Albert.io ""Equalities"""
17,GASEOUS-17,"The reaction that produces a compound X has an equilibrium constant of $K_eq_ = 22.22$. In a vessel, consider the reaction:

$X_(g)_$ ⇄ $2A_(g)_ + 3B_(g)_$

All concentrations are measured: $[X] = 0.10 M$, $[A] = 0.35 M$, $[B] = 0.40 M$.  At this point, is the reaction at equilibrium?",medium,,,,The system is not at equilbrium. The reverse reaction will keep going until $Q = K$.,"Writing the Q expression for this particular reaction:

Q = $[A]^2^[B]^3^/[X]$

If we replace those with all the values:
Q = $(0.35)^2^(0.40)^3^/(0.10)$
Q = 0.078

If we compare this to the equilibrium constant for the reaction, which is the inverse of the one for the reverse reaction:
K = 1/22.22
K = 0.045

Since $Q > K$ the revese reaction is the one that's going to step up until $Q = 0.045$.",,"The system is at equilbrium. At this point, $Q = K$.","Writing the Q expression for this particular reaction:

Q = $[A]^2^[B]^3^/[X]$

If we replace those with all the values:
Q = $(0.35)^2^(0.40)^3^/(0.10)$
Q = 0.078

If we compare this to the equilibrium constant for the reaction, which is the inverse of the one for the reverse reaction:
K = 1/22.22
K = 0.045

Since Q is different from K, the reaction is not at equilibrium.",,The system is not at equilbrium. The forward reaction will keep going until $Q = K$.,"Writing the Q expression for this particular reaction:

Q = $[A]^2^[B]^3^/[X]$

If we replace those with all the values:
Q = $(0.35)^2^(0.40)^3^/(0.10)$
Q = 0.078

When compared to the equilibrium constant K, the reaction that's going to step up is not the forward reaction.",,The system is not at equilbrium. The reaction will stop at this point.,"When a system is not at equilibrium, the reaction won't stop until it's reached.",,"Albert.io ""Equilibrium of Ammonia"""
18,GASEOUS-18,"Analyze the following reaction:

$A + B ⇄ C$ $Kp = X$

What would be the Kc for this reaction:

2C ⇄ A + B",medium,,,,$Kc = 1/X^2^(RT)^Δn^$,"Since Kp and Kc are related like this: $Kp = Kc(RT)^Δn^$ then let's find out first the Kp expression for the last reaction. Since the last reaction is the first one reversed and multiplied by 2, we get that: $Kp = 1/X^2^$ Solving for Kc in the expression they're related in: $Kc = 1/X^2^(RT)^Δn^$.",,$Kc = X^2^(RT)^Δn^$,"Remember that since the last reaction is not only multiplied by 2 but also reversed, then its equilibrium constant is also the inverse of the original one: $Kp = 1/X$.",,$Kc = 1/X(RT)^Δn^$,"Remember that since the last reaction is not only reversed, but also mutiplied by 2. then its equilibrium constant is also squared: $Kp = X^2^$.",,$Kc = X(RT)^Δn^$,Try to understand how Kp and Kc are related to each other first.,,"Albert.io ""Kp for Reaction"""
19,GASEOUS-19,Consider the graph above in which the yellow line represents the forward reaction and the blue one the reverse reaction of an equilibrium system. What would best describe what could have happened at points 1 and 2 of the graph?,medium,,,,At point 1 the equilibrium has been reached and at point 2 a catalyst was added to accelerate both reactions' rates.,"At point 1 the equilibrium is established given how both reaction's rates are equal from that point on, while at point 2 both of the rates go up without any disturbance happening to the equilibrium, which would most likely be caused by the addition of a catalyst, which would accelerate not one but both reactions by the same amount.",,At point 1 the equilibrium has been reached and at point 2 the equilibrium is disturbed once again.,"Even though at point 1 the equilibrium is in fact reached, at point 2 the equilibrium is not disturbed because both reactions' rates remain equal.",,At point 1 reactions stopped and at point 2 they keep going.,"The reactions don't stop at any time. The reactions' rates from point 1 until point 2 remain constant, which doesn't mean they're 0.",,"At point 1 reactions stopped and at point 2 a catalyst was added to accelerate both reactions rates. Besides that, ","Even though at point 2 a catalyst was in fact added to the system, the reactions don't stop at any time. The reactions' rates from point 1 until point 2 remain constant, which doesn't mean they're 0. ",,"Albert.io ""Catalysts and the Equilibrium State"""
20,GASEOUS-20,Consider the figure above. Both are closed vessels with an equilibrium gaseous reaction within. What can explain what happened from image 1 to image 2?,medium,,,,"The equilibrium shifted because of the increment of the pressure, consuming the blue molecules and producing the red ones as a counteract to maintain equilibrium.","By pushing down the lid into the vessel, the volume of the system is decreasing, increasing the pressure. This makes the system to shift and react in order to relief this pressure somehow. In this case, the blue molecules are consumed and the red ones are produced.

With this information we could determine that $4Blue_(g)_ ⇋ 4Red_(g)_$, meaning that by consuming the blue molecules and producing the red ones, the gaseous molecules within the system will decrease, to preserve equilibrium as much as possible.",,"The equilibrium shifted because of the decrease of the pressure, consuming the blue molecules and producing the red ones as a counteract to maintain equilibrium.","By pushing down the lid into the vessel, the volume of the system is decreasing, increasing the pressure, not decreasing it.",,They must be two different vessels because molecules in the closed system couldn't have changed.,There is no information that could indicate that these are different vessels. Molecules in a chemical system can change.,,Blue molecules were extracted and red molecules injected into the system somehow.,No molecules were extracted nor injected into the vessel whatsoever since it's an enclosed system. Any change that occured must have happened by a reaction taking place.,,"Albert.io ""Description of Reaction"""
21,GASEOUS-21,"Consider the following unbalanced reaction with ""[ ]"" where the coefficients should be: 

$2A_(g)_$⇄ $[ ]B_(g)_  + C_(g)_$

The reaction is represented in the figure above, in which the beaker 1 has the initial mixture and the beaker 2 the system at equilibrium. What would be the equilibrium constant for the formation of 2 moles of A? Assume each ball or molecule makes up for 1 mole of the substance.",medium,,,,0.8,"First of all, given how the beaker 1 has only one type of substance and then it reacts to form 2 other different compounds, we can assume that the blue molecules are for A in the reaction.

Parting from that, seeing how 10 moles reacted to form 10 of the red molecules and 5 of the green ones, you could write the equation as: $2A_(g)_⇄ 2B_(g)_  + C_(g)_$ for which the expression for the equilibrium constant is: $K = [B]^2^[C]/[A]^2^$ and replacing the values at equilibrium:

K = $(10/1)^2^(5/1)/(20/1)^2^$
K = 1.25

Since the asked constant is for the formation of 2 moles of A, that would tbe the K for the reverse reaction:
K = 1/1.25
K = 0.8
",,1.25,"Remember the asked equilibrium constant is the one for the formation of 2 moles of A, not just for the balanced equation. The equilibrium constant for the reverse reaction would be the inverse of K: $K_r_ = 1/K_f_$",,0.4,"Given how the beaker 1 has only one type of substance and then it reacts to form 2 other different compounds, we can assume that the blue molecules are for A in the reaction. Parting from that, seeing how 10 moles reacted to form 10 of the red molecules and 5 of the green ones, it's confirmed that the equation wasn't originally balanced, so if you assumed all the coeffiecients being 1, it's incorrect.",,2.5,Try to determine first how the molecules change from image 1 to 2 and then count the moles within the beaker to determine the balanced equation to ultimately calculate the equilibrium constant.,,"Albert.io ""Equilibrium Constant for System"""
22,GASEOUS-22,"Analyze the following reaction: 

$A_(g)_$ ⇄ $B_(g)_ $

At some point in time, the reaction is at equilibrium, but a sudden addition of B disturbs it. What would describe better what happens afterwards?",easy,,,,The reverse reaction's rate will start declining while the forward reaction's rate increases until the equilibrium is reached.,"Even though an additiong of B will certainly make the reverse reaction's rate to be at its peak, after that it will keep decreasing until $rate forward = rate reverse$.",,The forward reaction's rate will start declining while the reverse reaction's rate increases until the equilibrium is reached.,"Even though an additiong of B will certainly make the reverse reaction's rate to be at its peak, it will not continue increasing but decreasing from that point on.",,Both reaction's rates would increase in order for the equilibrium to be reestablished.,The rate of the forward reaction would decrease in comparison to the rate of the reverse reaction because the equilibrium has to be restored by consuming B and producing A.,,The forward reaction will stop and the reverse reaction's rate will increase until equilibrium is reached.,"Both forward and reverse reaction are active at all times, even at equilibrium.",,"Albert.io ""Using Reaction Rate to Assess the Equilibrium State"""
23,GASEOUS-23,"Take the following hypothetical reactions into account:

X ⇄ $Y_(g)_ + Z_(g)_ ΔH$ > 0

What actions could you take to increase the formation of Y and Z?",easy,,,,All of the above,All the previous actions are valid to increase the production of Y and Z for this reaction in particular.,D,Injecting more X to the system,Adding more X will increase its concentration which will make the equilibrium shift to consume it and ultimately produce more of Y and Z.,,Increasing the temperature of the system,"Given this is an endothermic reaction, increasing the temperature will increase the equilibrium constant value, resulting in more products forming than previously.",,Decreasing the pressure of the system,"Given there are 2 gaseous moles on the right of the reaction and just 1 mole on the left, decreasing the pressure would make the equilibrium shift to compensate the excess of space and produce more gaseous moles.",,"Albert.io ""Shift in Equilibrium Causing More Products to Form"""
