Question,,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,,
number,id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position,source
11,SOLUBILITY-11,"If you wanted to dissolve $15 g$ a substance MA_(s)_, with a molar mass of $50 g/mol$, what would the minimum volume of water in the vessel need to be to accomplish that? Take into account that the Ksp for that salt is 2.25.",medium,,,,0.2,"Let's first determine the first reaction that would take place: $MA_(s)_ ⇄ M^+^_(aq)_ + A^-^_(aq)_$.

Now let''s write the expression for the Ksp for this particular reaction: $Ksp = [M^+^][A^-^]$.

Assuming ""X"" as the amount of the salt that gets dissolved in M, let's replace the concentration expressions: $Ksp = (X)(X)$.

Replacing the Ksp value: $2.25 = (X)^2^$. Solving for X: $X = 1.5 M$.

Being this the maximum concentration that could be dissolved in water of this salt. Then, we just have to calculate how many moles are in $15 g$ using the molar mass:

Moles of MA_(s)_ = 15 / 50
Moles of MA_(s)_ = 0.3 moles

To determine the volume:

Volume = 0.3 / 1.5
Volume = 0.2 L",,1.5,"This would be the molar solubility of the salt if it were added just in water, but because of the presence of a common ion (A^-^) that would alter the solubility fo the salt, this is incorrect.",,0.3,"This would be the number of moles that are needed to be dissolved, but not the value for the volume.",,2.25,This is just the Ksp value for this reaction. Try first calculating the molar solubility of that salt.,,"Albert.io ""Identify Unknown Metal"""
12,SOLUBILITY-12,"Take into account an hypothetical reaction like this:

4A_(s)_ ⇋ $3B_(aq)_ + 2C_2(g)_ + D_(s)_$

What would the quotient Q expression be for this reaction?",easy,,,,Q = [B]^3^[C_2_]^2^,"In the Q expression the solids are not taken into account, and since both A and D are in solid state, the final equation is: $Q = [B]^3^[C_2_]^2^$",,Q = [B]^3^[C_2_]^2^[D],"In the Q expression the solids are not taken into account, and since D is in solid state, this is incorrect.",,Q = [B]^3^[C_2_]^2^[D]/[A],"In the Q expression the solids are not taken into account, and since both A and D are in solid state, this is incorrect.",,Q = [B]^3^[C]^2^,"C is not a real species produced in this reaction, it would be C_2_.",,"Albert.io ""Reaction Quotient Expression"""
13,SOLUBILITY-13,"Take into consideration the following salts dissolving in a $0.20 M$ A^-^ of aqueous:

I XA_2(s)_ ⇄ $X^+^_(aq)_ + 2A^-^_(aq)_$ $Ksp = 3.4x10^-6^$
II Y_2_A_(s)_ ⇄ $2Y^+^_(aq)_ + A^-^_(aq)_$ $Ksp = 7.1x10^-8^$
III ZA_(s)_ ⇄ $Z^+^_(aq)_ + A^-^_(aq)_$ $Ksp = 6.0x10^-6^$
IV WA_(s)_ ⇄ $W^+^_(aq)_ + A^-^_(aq)_$ $Ksp = 1.5x10^-7^$

Which of the options have the lowest molar solubility?",medium,,,,IV,"Let's first determine the reaction that would take place: 

WA_(s)_ ⇄ $W^+^_(aq)_ + A^-^_(aq)_$

Now let''s write the expression for the Ksp for this particular reaction: $Ksp = [W^+^][A^-^]$.

Assuming ""X"" as the amount of the salt that gets dissolved in M and $0.20 M$ as the initial concentration of A^-^, let's replace the concentration expressions: $Ksp = (X)(X + 0.20)$.

Because of how small the Ksp is, we can assume X <<< 0.20, so in the expression $(X + 0.20)$ X can be assumed as 0 to make the calculation easier.

Replacing the Ksp value: $1.5x10^-7^ = (X)(0.20)$. Solving for X: $X = 7.5x10^-7^ M$. Being this one the lowest molar solubility of all the options.",,I,"Let's first determine the reaction that would take place:

XA_2(s)_ ⇄$ X^+^_(aq)_ + 2A^-^_(aq)_$

Now let''s write the expression for the Ksp for this particular reaction: $Ksp = [X^+^][A^-^]^2^$. Assuming ""X"" as the amount of the salt that gets dissolved in M and $0.20 M$ as the initial concentration of A^-^, let's replace the concentration expressions: $Ksp = (X)(2X + 0.20)^2^$.

Because of how small the Ksp is, we can assume 2X <<< 0.20, so in the expression $(2X + 0.20)$ X can be assumed as 0 to make the calculation easier.

Replacing the Ksp value: $3.4x10^-6^ = (X)(0.20)^2^$. Solving for X: $X = 8.5x10^-5^ M$. This would not be the lowest molar solubility of all the options.",,II,"Let's first determine the reaction that would take place:

Y_2_A_(s)_ ⇄ $2Y^+^_(aq)_ + A^-^_(aq)_$

Now let''s write the expression for the Ksp for this particular reaction: $Ksp = [Y^+^]^2^[A^-^]$.

Assuming ""X"" as the amount of the salt that gets dissolved in M and $0.20 M$ as the initial concentration of A^-^, let's replace the concentration expressions: $Ksp = (2X)(X + 0.20)$.

Because of how small the Ksp is, we can assume X <<< 0.20, so in the expression $(X + 0.20)$ X can be assumed as 0 to make the calculation easier.

Replacing the Ksp value: $7.1x10^-7^ = (2X)^2^(0.20)$. Solving for X: $X = 1.3x10^-4^ M$. This would actually be the highest molar solubility.",,III,"Let's first determine the reaction that would take place:

ZA_(s)_ ⇄ $Z^+^_(aq)_ + A^-^_(aq)_$ $Ksp = 6.0x10^-6^$

Now let''s write the expression for the Ksp for this particular reaction: $Ksp = [Z^+^][A^-^]$.

Assuming ""X"" as the amount of the salt that gets dissolved in M and $0.20 M$ as the initial concentration of A^-^, let's replace the concentration expressions: $Ksp = (X)(X + 0.20)$.

Because of how small the Ksp is, we can assume X <<< 0.20, so in the expression $(X + 0.20)$, X can be assumed as 0 to make the calculation easier.

Replacing the Ksp value: $6.0x10^-6^ = (X)(0.20)$. Solving for X: $X = 3.0x10^-5^ M$. This would not be the lowest molar solubility of all the options.",,"Albert.io ""Molar Solubility"""
14,SOLUBILITY-14,"Consider the following reaction:

MX_(s)_ ⇄ $M^+^_(aq)_ + X^-^_(aq)_$ $Ksp = 0.5$

What would be the Ksp for this reaction:

3MX_(s)_ ⇄ $3M^+^_(aq)_ + 3X^-^_(aq)_$",easy,,,,0.125,"Since the second reaction is the same one as the original but multiplied by 3, then the Ksp can be determined by: $Ksp = 0.5^3^$ $Ksp = 0.125$",,1.5,"This assumes that the new Ksp is the original one multiplied by 3, which is incorrect.",,3.5,This assumes that the new Ksp is the original one plus 3 which is incorrect.,,0.5,"This assumes that the new Ksp is equal to the original Ksp, which is not the case.",,"Albert.io ""Manipulations of Qsp"""
15,SOLUBILITY-15,"Consider the following reaction for an ionic salt in water:

MX_(s)_ ⇄ $M^+^_(aq)_ + X^-^_(aq)_$ $Ksp = 2.0$

What would be the equilibrium constant for this reaction:

$2M^+^_(aq)_ + 2X^-^_(aq)_$ ⇄ 2MX_(s)_
",easy,,,,0.25,"Since the second reaction is the reverse reaction of the original and multiplied by 2, then the Ksp can be determined by: $Ksp = 1/2.0^2^$ $Ksp = 0.25$",,0.5,Remember that when the reaction is multiplied by a number (in this case 2) the new K value is elevated to that number.,,4,"Remember that for a reverse reaction, its K value is the inverse of the original one 1/K.",,2,"This assumes that the new Ksp is equal to the original Ksp, which is not the case.",,"Albert.io ""K in a Reversible Reaction"""
16,SOLUBILITY-16,"Take into account a salt that dissociates virtually entirely in water like this:

$MX_(s)_ → M^+^_(aq)_ + X^-^_(aq)_$

A $0.10 M$ solution of MX_(s)_ is prepared, and then a low solubility salt, NX_(s)_, is added until it reaches a molar solubility of $1x10^-4^ M$. How much more could you add of NX_(s)_ without it precipitating considering its Ksp is 5x10^-5^ and the vessel's volume is 1L?",hard,,,,4x10^-4^ moles,"Let's first determine the first reaction that would take place: $NX_(s)_ ⇄ N^+^_(aq)_ + X^-^_(aq)_$.

Now let''s write the expression for the Ksp for this particular reaction: $Ksp = [N^+^][X^-^]$.

Assuming ""X"" as the amount of the salt that gets dissolved in M and $0.10 M$ as the initial concentration of X^-^, let's replace the concentration expressions: $Ksp = (X)(X + 0.10)$.

Because of how small the Ksp is, we can assume X <<< 0.20, so in the expression $(X + 0.10)$ X can be assumed as 0 to make the calculation easier.

Replacing the Ksp value: $5x10^-5^ = (X)(0.10)$.

Solving for X: $X = 5x10^-4^ M$.

Being this the maximum concentration that could be dissolved in water of this salt.

Then, we just have to calculate how many moles are the maximum that can be dissolved in $1 L$ of water:

Max Moles = (5x10^-4^)(1)
Max Moles = 5x10^-4^ moles

Similarly, we determine the moles added:

Moles Added = (1x10^-4^)(1)
Moles Added = 1x10^-4^ moles

Knowing this, the difference is the number of moles that can still be added before it precipitates:

Moles to be Added = 5x10^-4^ - 1x10^-4^
Moles to be Added = 4x10^-4^ moles",,5x10^-4^ moles,"This would be the maximum amount of moles that can be added to water, but given the presence of a common ion X^-^, the molar solubility will be lower.",,1x10^-4^ moles,This is the amount of moles already added but that doesn't mean it's what can be added until saturation.,,It can't be added anymore,"More can be still added, try calculating the molar solubility of this particular salt in the prepared solution.",,"Albert.io ""Precipitation of Calcium Hydroxide"""
17,SOLUBILITY-17,"Consider the following reaction for an acid salt in water that dissociates into hidronium ions:

HX_(s)_ ⇄ $H^+^_(aq)_ + X^-^_(aq)_$

What is true about the relationship between the Ksp and the pH of a solution prepared with this acid?",easy,,,,The higher the Ksp is then the lower the pH will be,"The higher the Ksp is, the more of the salt can be dissociated or dissolved into ions, which results in the production of more ions. In this case, the higher the Ksp then higher would be the presence of H^+^ ions, and when the concentration of hidronium ions goes up, the pH goes down since $pH = -log[H^+^]$",,The higher the Ksp is then the higher the pH will be,"Even though in this case a high value of Ksp would indicate a high presence of H^+^ ions in the solution, remember that the pH gets lower with high concentrations of H^+^.",,The lower the Ksp is then the lower the pH will be,"Even though in this case a low value of Ksp would indicate a low presence of H^+^ ions in the solution, remember that the pH gets higher with low concentrations of H^+^.",,Ksp and pH has nothing to do with each other,In this case they are related because the product is H^+^ ions which are directly related to the pH of a solution.,,"Albert.io ""pH and Solubility of Ca(OH)2"""
18,SOLUBILITY-18,"A student dissolved $0.5 g$  of a substance MA_(s)_, with a molar mass of $12 g/mol$ into $0.4 L$ of water. Considering its Ksp is 0.05, is the solution?",medium,,,,Unsaturated,"Let's first determine the first reaction that would take place:

MA_(s)_ ⇄ $M^+^_(aq)_ + A^-^_(aq)_$

Now let''s write the expression for the Ksp for this particular reaction: $Ksp = [M^+^][A^-^]$.

Assuming ""X"" as the amount of the salt that gets dissolved in M, let's replace the concentration expressions: $Ksp = (X)(X)$.

Replacing the Ksp value: $0.05 = (X)^2^$. Solving for X: $X = 0.22 M$.

Being this the maximum concentration that could be dissolved in water of this salt. Then, we just have to calculate how many moles are the maximum that can be dissolved in $0.4 L$ of water:

Max Moles = (0.22)(0.4)
Max Moles = 0.09 moles

Then, we just have to calculate how many grams are those using the molar mass:

Mass of MA_(s)_ = 0.09 x 12
Mass of MA_(s)_ = 1.0 g

Since only $0.5 g$ were added, the solution is not yet saturated.",,Saturated,Not enough grams were added to prepare a saturated solution.,,Supersaturated,Not enough grams were added to prepare a supersaturated solution.,,More information is required,It's enough information to proceed. Try first calculating the molar solubility of this particular salt and then transforming it into mass.,,"Albert.io ""When Q does not equal K"""
19,SOLUBILITY-19,What type of solution is the one with a reaction with $Qsp < Ksp$?,easy,,,,Unsaturated,"Since Qsp is the solubility product quotient and it's given by its expression, that's fundamentally: $Qsp = [Products]$ at any given time. When the concentration of the products is lower than their concentration at equilibrium, then that means that if there is more solute to be dissolved, it will until $Qsp = Ksp$.",,Saturated,"If the solution were saturated, Qsp would be equal to Ksp, which is not the case.",,Supersaturated,"If the solution were supersaturated, Qsp would be greater than Ksp, which is not the case.",,More information is required,It's enough information to proceed. Qsp is an indicator of the state of the solution.,,"Albert.io ""Reaction Rate for a Disturbed Equilibrium"""
20,SOLUBILITY-20,"Consider the following reaction: 

MX_(s)_ ⇄ $M^+^_(aq)_ + X^-^_(aq)_$

What type of reaction would the reverse reaction of the previous one be?",easy,,,,Precipitation,Precipitation reactions occur when cations and anions in aqueous solution combine to form an insoluble ionic solid called a precipitate. They can be identified because the product is tagged as a substance in solid state (s).,,Combustion,"A combustion reaction is a reaction in which a substance reacts with oxygen gas, releasing energy in the form of light and heat, which is not this case.",,Single-replacement,"A single-replacement reaction is a reaction in which one element replaces a similar element in a compound, which is not the case because this type of reaction is usually a double replacement reaction.",,Endothermic,"Precipitation reactions can be endothermic or exothermic, it'll vary case by case, and in this one it cannot be determined if it's endothermic or not.",,"Albert.io ""Equilibrium Expression of Bromine and Bromide"""
21,SOLUBILITY-21,Consider a salt MA_2(s)_ that dissolves partially into M^+2^ and A^-^ ions when in water. A saturated solution of this salt has a $[M^+2^] = 0.05 M$. What would be the concentration of A^-^ ions at equilibrium?,medium,,,,$[A^-^] = 0.10 M$,"Let's first determine the reaction that would take place: $MA_2(s)_ ⇄ M^+2^_(aq)_ + 2A^-^_(aq)_$. So, if at equilibrium the salt dissolved into $0.05 M$ of M^+2^, then the double of that is what got dissolved into A^-^ ions: $[A^-^] = 0.05 x 2$ $[A^-^] = 0.10 M$",,$[A^-^] = 0.05 M$,"This assumes that for each mole that gets dissolved of the salt, one mole of the A^-^ ions get produced, which is not the case. Try balancing the equation.",,$[A^-^] = 0.20 M$,This is no where near the value of the concentration of the A^-^ ions in a saturated solution of this salt.,,The Ksp value is needed to make the proper calculations.,"The Ksp value is not necessary in this case, because just by looking at the balanced equation of the reaction is enough to determine how many moles of each ion are being produced.",,"Albert.io ""Solubility of Ca(OH)2"""
