Question,,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,,,,
number,id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position,source,Question Stem correct?,"Answer / Explanation correct, no errors?"
11,PHSCALE-11,A solution of HI is prepared. The pH measured is 2. Which one would be the molarity of HI?,easy,,,,0.01 M,"Parting from the pH of 2, for a strong acid $[H^+^] = [HI]$ since it dissociates entirely in water. Given the pH equation, we solve for [HI]:

[HI] = 10^-2^
[HI] = 0.01 M",,0.02 M,"If this were the molarity of the solution, the pH wouldn't be 2 but 1.7",,0.2 M,"If this were the molarity of the solution, the pH wouldn't be 2 but 0.7",,0.1 M,"If this were the molarity of the solution, the pH wouldn't be 2 but 1.",,Question Albert.io pH and HI,Yes,Yes
12,PHSCALE-12,How much mililiters of a concentrated solution $0.95 M NaOH$ would you add to $100 mL$ of water to make a $0.05M$ solution?,hard,,,,5.55 mL,"First, let's part from the desired final concentration of the resultant solution:

[NaOH] = moles of NaOH/(Volume added + Volume of water)
0.05 = moles of NaOH/(Volume added + 0.1)

Solving for the moles of NaOH we get equation 1:

moles of NaOH = 0.05V + 0.005

where V is the volume added of the solution. The equation for this volume would be:

V = moles of NaOH/[NaOH]c
V = moles of NaOH/0.95

Solving for the moles of NaOH: $moles of NaOH = 0.95V$.

By writing both equations, we get that: $0.95V = 0.05V + 0.005$. Solving for V: $V = 0.00555 L$, or what is the same, 5.55 mL.",,11.1 mL,If you were to add $11.1 mL$ of the solution you would end up with a $0.095 M NaOH$ solution instead.,,22.2 mL,If you were to add $11.1 mL$ of the solution you would end up with a $0.173 M NaOH$ solution instead.,,44.4 mL,If you were to add $11.1 mL$ of the solution you would end up with a $0.292 M NaOH$ solution instead.,,Question 73. AP College Board 1999,Yes,Yes
13,PHSCALE-13,A solution with a pOH of 9 have a concentration of hidronium ions of...,easy,,,,10^-5^ M,"Since $pH + pOH = 14$, we solve for pH:

pH = 14 - 9
pH = 5

Given the pH equation, we solve for [H^+^]: $[H^+^] = 10^-5^ M$",,10^-9^ M,This would be the concentration of hydroxide ions OH^-^ instead.,,10^-10^ M,This is concentration of H^+^ ions would be far too low given the pOH data.,,10^-7^ M,This is concentration of H^+^ ions would be too low given the pOH data.,,Question 30. AP College Board 2002,Yes,Yes
14,PHSCALE-14,What would be the pH of a solution $0.400 M of NaF$ if the Ka of HF is 6.6x10^-4^ (Take into account NaF dissociates entirely into its ions),easy,,,,8.4,"he Kb for the conjugate base of an acid is Kw divided by its Ka, so given HF and F^-^:

Kb = 10^-14^/6.6x10^-4^
Kb = 1.51x10^-11^

Considering ""X"" as the amount of F^-^ that attracts H^+^ ions to produce OH^-^ ions, we can write the Kb expression for this weak base as:

Kb = [F^-^]/[HF][OH^-^]
Kb = (X)(X)/(0.400 - X)

Since X is a very small number, we can assume $(0.400 - X)$ as 0.400. Solving for X: $X = √[HA]Kb$. Replacing the values:

X = √(0.400 x 1.51x10^-11^)
X = 2.46x10^-6^

This is also the amount of hydroxide ions that are now dissolved in the solution. Given the pH equation: $pH = 14 -(-log([OH^-^]))$, let's just replace:

pH = 14 -(-log(2.46x10^-6^))
pH = 8.4",,5.6,This would be the pOH of the solution instead of the pH which is what is asked for.,,10.8,This is just the pKb of the weak base and not the pH.,,7,A solution containing a weak base wouldn't have a pH of 7 which is neutral.,,Question Albert.io Equilibrium: pH of a Weak Acid,Yes,Yes
15,PHSCALE-15,"HF_(aq)_  ⇄ $H^+^_(aq)_ + F^-^_(aq)_$
Ka = 3.7x10^-7^

Given an acidic solution prepared with HF, what would be a way to increase its pH?

",medium,,,,Adding NaF,"Remember that weak acids and weak bases dissociate into water in the  way of a reversible reaction. By adding NaF (a soluble salt) it dissociates entirely into Na^+^ and F^-^.

This would increase the concentration of [F^-^] in the solution, which would make $Qa > Ka$ because of the increment in the concentration of the products, resulting in the reverse reaction to get favored, consuming both the F^-^ and the H^+^ in the solution to produce HF, decreasing the [H^+^], ultimately increasing the pH.",,Adding HF,"Remember that weak acids and weak bases dissociate into water in the  way of a reversible reaction. By adding more HF this would only result in the forward reaction to get favored, ultimately decreasing the pH instead of increasing it.",,Adding HCl,By adding HCl (a strong acid) the pH would fall further down by a lot instead of increasing.,,There is no way to increase its pH,There are various ways in which the pH can be brought back to neutral or even basic. Treat weak acid and weak bases reactions as reveresible reactions at equilibrium. ,,Question 37. AP College Board 2002,Yes,Yes
16,PHSCALE-16,Consider a tank that has a $0.01 M$ solution of HCl. The acidic solution has a total volume of $2 L$. How much water would you need to add to the tank to bring the pH 1 unit above the current pH?,medium,,,,18 L,"The pH of the current solution can be easily calculated by:

pH = -log[H^+^]
pH = -log(0.01)
pH = 2

To know how many moles of HCl (or H^+^) are present in the solution, it can be determined by:

Moles of HCl = [HCl] x Volume
Moles of HCl = 0.01 x 2
Moles of HCl = 0.02 moles

The desired pH is 3, so the desired concentration is $10^-3^ M$. We use the same formula to determine the volume needed for this moles to make a solution with the desired concentration:

Total Volume = Moles of HCl / [HCl]
Total Volume = 0.02 / 10^-3^
Total Volume = 20 L

Since there were already $2 L$ of solution, only 18 L would be needed to prepare it. ",,20 L,"This would be the total volume needed to prepare the desired solution, but take into account there are already $2 L$ of solution, so if you were to add $20 L$, you would end up with a total volume of around $22 L$.",,2 L,"pH values are not linear (take into account its equation of $pH = -log[H^+^]$. Knowing this, to prepare the desired solution it's expected to need much more water than what's already present.",,4 L,This would not be enough water to prepare the desired solution. Try to calculate how many moles are in the solution and how much water would it take to prepare a solution with a pH of 3.,,Question 61. AP College Board 2002,Yes,Yes
17,PHSCALE-17,What would be the pH of a solution $0.050M$ of $H_2_SO_4_$? Consider that the Ka for HSO_4_^-^ is 1.3x10^-2^,hard,,,,1.23,"The dissociation of a strong acid like H_2_SO_4_ in water would go as follows:

H_2_SO_4_ → H^+^ + HSO_4_^-^

It dissociates completely in water into its ions ($[H^+^] = 0.05 M$ and $[HSO_4_^-^] = 0.05 M$). But HSO_4_^-^ is also a weak acid, so it also dissociates partially into its ions, like this:

The dissociation of H_2_S in water would go as follows:

HSO_4_^-^ ⇄ H^+^ + SO_4_^2-^

Considering ""X"" as the amount of HSO_4_^-^ that gets dissociated into its ions, we can write the Ka expression for this weak acid as:

Ka = [H^+^][SO_4_^2-^]/[HSO_4_^-^]
1.3x10^-2^ = (0.05 + X)(X)/(0.05 - X)

X is a very small number, but not by much in comparison, so it's necessary to solve for X (use your preferred method to solve 2nd degree equations). Solving for X: $X = 9.02x10^-3^$.

To determine the amount of hidronium ions that are now dissolved in the solution:

[H^+^] = 9.02x10^-3^ + 0.05
[H^+^] = 0.059 M

Given the pH equation: $pH = -log([H^+^])$, let's just replace:

pH = -log(0.059)
pH = 1.23
",,1,"This would be the pH if you assumed that $H_2_SO_4_$ dissociates entirely in water into 2 moles of H^+^ ions, which is incorrect. It's a diprotic acid, and it dissociates into H^+^ ions and HSO_4_^-^ which is a weak acid in itself.",,1.3,"This would be the pH if you assumed that $H_2_SO_4_$ dissociates entirely in water into just 1 mole of H^+^ ions, which is incorrect. It's a diprotic acid, and it dissociates into H^+^ ions and HSO_4_^-^ which is a weak acid in itself, so you have to take it into account.",,7,This is a neutral pH and it would be impossible for it to be the pH of a solution with a concentration as such of a strong acid.,,Question Albert.io pOH and NaOH,Yes,Yes
18,PHSCALE-18,Which one of these solutions can be said it's the most basic one of all the options?,easy,,,,A solution with a concentration of hydronium ions of 9.2x10^-13^,"The pH of a solution with $[H^+^] = 9.2x10^-13^$ is:

pH = -log(9.2x10^-13^)
pH = 12.04

which is the most basic pH of the options.",,A solution with a concentration of hydroxide ions of 2.8x10^-6^,"The pH of a solution with $[OH^-^] = 2.8x10^-6^$ is:

pH = -log(2.8x10^-6^)
pH = 8.44

which is a basic pH but not the most basic one.",,A solution with a pH of 5.6,A pH of 5.6 indicates an acidic solution if anything else.,,A solution with a pOH of 7.6,"A pOH of 7.6 indicates an acidic solution given how:

pH = 14 - 7.6
pH = 6.4

which is lower than 7.",,Question Albert.io Acidity Rank,Yes,Yes
19,PHSCALE-19,"A student prepared four $0.01 M$ solutions in different beakers of HI, KOH, NaF and HCN. They forgot to label the beakers, so with the help of pH meters they try to figure out which solution is which. Considering the pH values, which solution is which?",medium,introduction-19,"Four beakers labelled from 1 to 4, with a pH reading in each beaker. Beaker 1, 2.0. Beaker 2, 7.7. Beaker 3, 5.6. Beaker 4, 12.0.",,"1: HI
2: NaF
3: HCN
4: KOH","Just by knowing that HI is a strong acid, NaF (F^-^) is a weak base, HCN is a weak acid and KOH is a strong base, should be enough to know which solution is each one.",,"1: HCN
2: NaF
3: HI
4: KOH","Although HCN is acid, it's just a weak acid so a pH of 2.0 doesn't make much sense, especially by comparing it with the HI solution with a pH of 5.6, being this last one a strong acid.",,"1: HI
2: KOH
3: HCN
4: NaF","Although KOH is basic, it's a strong base so a pH of just 7.7 doesn't make much sense, especially by comparing it with the NaF solution with a pH of 12, being this last one just a weak base.",,"1: KOH
2: HCN
3: NaF
4: HI","A strong base like KOH wouldn't produce a solution with an acidic pH of 2.0, a weak acid like HCN wouldn't produce a solution with a basic pH of 7.7, a weak base like NaF wouldn't produce an acidic pH of 5.6 and a strong acid like HI wouldn't produce a solution with a basic pH of 12.",,Question Albert.io Using Strong Acids and Bases to Asses pH Probe Accuracy,Yes,Yes
20,PHSCALE-20,"A student prepares a $100 mL$ solution of $0.05 M KOH$ in a beaker and titrates it with $0.02 M HCl$. After the addition of $80 mL$ of the titrant, what would the pH of the solution be?",medium,,,,12.27,"In a $100 mL$ solution of $0.05 M KOH$, we can determine how many moles of KOH (or OH^-^ which is the same because it's a strong base) are present initially:

Moles of OH^-^ = 0.05 x 0.100
Moles of OH^-^ = 0.005 moles

In the $80 mL$ added of $0.02 M HCl$, we can do the same thing:

Moles of H^+^ = 0.02 x 0.080
Moles of H^+^ = 0.0016 mole

Because H^+^ and OH^-^ ions react with each other to produce water, it's said that they're neutralized by each other, following this reaction:
$KOH + HCl → H_2_O + KCl$.

To determine what's left after this reaction:

Moles left = 0.005 - 0.0016
Moles left of OH^-^ = 0.0034 moles

Let's calculate the concentration of ions in the solution:

[OH^-^] = Moles of OH^-^ / Total Volume
[OH^-^] = 0.0034 / (0.100 + 0.080)
[OH^-^] = 0.0188 M

Given the pH equation:

pH = 14 - (-log[OH^-^])
pH = 14 - (-log(0.0188))
pH = 12.27",,12.53,"Remember to sum up the volumes together. Initially there was $0.100 L$ of base and then $0.080 L$ was added, coming to a total of $0.180 L$.",,1.7,"This is not the pH of the solution. The hydronium ions produced are also neutralized by the already presente hydroxide ions, so they are all consumed and the pH would have to be calculated based on the moles of ions left after the neutralization reaction.",,12.7,This is not the pH of the solution. The pH would have to be calculated based on the moles of ions left after the neutralization reaction.,,Question Albert.io pH of a Mixture,Yes,Yes
21,PHSCALE-21,What would be the pH of a solution prepared with $0.120 M$ CH_3_COONa (salt)?. Consider the pKa for CH_3_COOH is 4.75.,medium,,,,8.91,"The Kb for the conjugate base of an acid is Kw divided by its Ka, so given how CH_3_COOH and CH_3_COO^-^:

Kb = 10^-14^/10^-4.75^
Kb = 5.6x10^-10^

Considering ""X"" as the amount of CH_3_COOH that gets dissociated into its ions, we can write the Ka expression for this weak acid as:

Ka = [H^+^][CH_3_COO^-^]/[CH_3_COOH]
Ka = (X)(X)/(0.160 - X)

Since X is a very small number, we can assume $(0.160 - X)$ as 0.160. Solving for X: $X = √[CH_3_COOH]Ka$. Replacing the values: 

X = √(0.160 x 1.78x10^-6^)
X = 1.69x10^-3^ M

This is also the amount of hidronium ions that are now dissolved in the solution. Given the pH equation: $pH = -log([H^+^])$, let's just replace:

pH = -log(1.69x10^-3^)
pH = 2.77",,5.08,This would be the pOH of the solution instead of the pH which is what is asked for.,,11.16,This would be the value you've gotten if you used Ka as Kb instead of calculating it from the Kw.,,7,A solution containing a weak base wouldn't have a pH of 7 which is neutral.,,Question Albert.io pH of Salt Solutions,Yes,Yes
22,PHSCALE-22,"A student prepares a 0.100L solution of 0.100 M HF (weak acid). After measuring its pH, they realize that they need the pH to be 20% more than what it is at that moment.

How much water would it take to dillute the solution to the desired point?

(Ka = 7.2x10^-4^)",hard,,,,0.450 L,"The dissociation of HF in water would go as follows:

HF ⇄ H^+^ + F^-^

Considering ""X"" as the amount of HF that gets dissociated into its ions, we can write the Ka expression for this weak acid as:

Ka = [H^+^][F^-^]/[HF]
Ka = (X)(X)/(0.100 - X)

Since X is a very small number, we can assume $(0.100 - X)$ as 0.100. Solving for X: $X = √[HF]Ka$ Replacing the values:

X = √(0.100 x 7.2x10^-4^)
X = 8.48x10^-3^ M

This is also the concentration of hidronium ions that are now dissolved in the solution. Given the pH equation: $pH = -log([H^+^])$, let's just replace:

pH = -log(8.48x10^-3^)
pH = 2.07

Knowing this pH value, the desired pH would be 20% more than it:

pH = 2.07 x 1.20
pH = 2.48

In other words, the desired concentration of hydronium ions would be:

[H^+^] = 10^-2.48^
[H^+^] = 3.28x10^-3^ M

Once again, if HF were to be dissociated into water, and we take $3.28x10^-3^ M$ as the part of it that gets dissociated, we can assume ""Xo"" as the initial concentration of HF, and write the Ka expression:

Ka = [H^+^][F^-^]/[HF]
7.2x10^-4^ = $(3.28x10^-3^)(3.28x10^-3^)$/(Xo - 3.28x10^-3^)

Solving for Xo: $Xo = 0.0182 M$

If at the beginning there was $0.100 L$ of water, we can calculate the moles:

Moles of HF = [HF] x Volume
Moles of HF = 0.100 x 0.100
Moles of HF = 0.0100 moles

The total volume to get to the desired concentration would be:

Volume = Moles of HF / Xo
Volume = 0.0100 / 0.0182
Total Volume = 0.550 L

So to the $0.100 L$ solution, $0.450 L$ of water should be added.",,0.550 L,"This would be the total volume needed to prepare the desired solution, but take into account there are already $0.100 L$ of solution, so if you were to add $0.550 L$, you would end up with a total volume of around $0.650 L$.",,0.200 L,This would not be enough water to get to the desired pH.,,0.020 L,This would not even be near enough water to get to the desired pH.,,Question Albert.io Dilution and Hydronium,Yes,Yes
23,PHSCALE-23,A solution of which of these substances would most likely result in the furthest value from 7 for the pH?,easy,,,,NaOH,"Since this a strong base, it would have a pH very high with a value very far from 7.",,HCN,"Although this is an acid, it's a weak one so the resultant pH wouldn't be low enough to be further than other options.",,H_2_O,"This is just water, so on the contrary it would probably result in a pH of 7 or near 7.",,CH_3_COONa,"Although this is a base, it's a weak one so the resultant pH wouldn't be high enough to be further than other options.",,Question Albert.io Strength of Bases,Yes,Yes
24,PHSCALE-24,Consider a solution that has a pH of 7.9 at 25 °C. Would you consider this solution to be..?,easy,,,,Basic,It's a basic solution given its pH is greater than 7 at standard conditions.,,Acidic,It's not an acidic solution. The greater the pH value than the more basic is the solution.,,Neutral,"A pH of 7 is considered neutral at standard conditions, and since this pH is different than 7 then it's not neutral.",,Cannot be determined with this information,With the pH it can be determined if the solution is considered acidic or basic.,,Question Albert.io Hydroxide Ion Concentration,Yes,Yes
25,PHSCALE-25,"A student prepares a $400 mL$ solution of $0.100 M HBr$ in a beaker and titrates it with $0.200 M NaOH$. After the addition of $200 mL$ of the titrant, what would the pH of the solution be?",medium,,,,7,"In a $400 mL$ solution of $0.100 M HBr$, we can determine how many moles of HBr (or H^+^ which is the same because it's a strong acid) are present initially:

Moles of H^+^ = 0.400 x 0.100
Moles of H^+^ = 0.04 moles

In the $200 mL$ added of $0.200 M NaOH$, we can do the same thing:

Moles of OH^-^ = 0.200 x 0.200
Moles of OH^-^ = 0.04 moles

Because H^+^ and OH^-^ ions react with each other to produce water, it's said that they're neutralized by each other, following this reaction:

NaOH + HBr →$ H_2_O + NaBr$

To determine what's left after this reaction:

Moles left = 0.004 - 0.004 = 0

They acid gets neutralized entirely and no more base is added after that, so the solution should remain at this point at a pH of 7 (neutral).",,8,"At that point all strong acid gets neutralized by the strong base, so the solution remaining should be neutral and not basic.",,6,"At that point all strong acid gets neutralized by the strong base, so the solution remaining should be neutral and not acidic.",,1,This is not the pH of the solution. The pH would have to be calculated based on the moles of ions left after the neutralization reaction (if any).,,Question Albert.io Mixture pH,Yes,Yes
