Question,,,,,,,Correct answer,,,Incorrect answer 1,,,Incorrect answer 2,,,Incorrect answer 3,,,,,
number,id,text,difficulty,image-name,image-label,table,text,explanation,position,text,explanation,position,text,explanation,position,text,explanation,position,source,Question Stem correct?,"Answer / Explanation correct, no errors?"
11,TITRATION-11," A $250 mL$ solution of $0.150 M$ KOH, was neutralized by adding HI at a concentration of $0.110 M$. How many mililiters of the strong acid were needed to fully neutralize the base?",easy,,,,341 mL,"Being the strong acid HI, we can easily calcualte its volume:

V_HI_ = M_KOH_ x V_KOH_ / M_HI_
V_HI_ = 0.150 x 250 / 0.110
V_HI_ = 341 mL",,238 mL,This would not be enough acid to fully neutralize the strong base.,,456 mL,This would much more acid than the required to fully neutralize the strong base.,,250 mL,"This is just the volume of the strong base, if the same volume of acid was required to neutralize it, since it's a one to one reaction, then the concentration would be the same which is not.",,Question Albert.io Equivalence Point Calculation for a Strong Acid-Base Reaction,Yes,Yes
12,TITRATION-12,Which of the following would be the definition of an indicator?,medium,,,,"It's a weak acid or base that is added to the analyte solution, and it changes color when the equivalence point is reached.","The point at which the indicator makes the solution change color is called the end point because it's usually slightly after the actual equivalence point, but it's close enough to determine it.",,"It's a solution of a known concentration, which is added to another solution, most of the time to determine its concentration.",This would be the definition of titrant.,,It's a solution whose concentration has to be determined by the titration.,This would be the definition of titrand or analyte.,,It's an acid or base that partially dissociates into its ions in an aqueous solution or water.,This would be the definition of weak acids and bases.,,Question Albert.io Titrating a Weak Acid with a Strong Base,Yes,Yes
13,TITRATION-13,How many equivalence points are there in this titration curve?,medium,,,,It has two equivalence points,"This is the case of the titration of a weak diprotic acid, which means that it gets dissociated into another weaker acid that also gets dissociated into its ions, so it has two equivalence points.",,It has one equivalence point,It has more than just one equivalence point since it's a diprotic acid.,,It has one equivalence point and one half equivalence point,It has more than just one equivalence point and more than one half equivalence point.,,It has three equivalence point and one half equivalence point,This would be the case of a triprotic acid but the graph shows it's the case of a diprotic acid instead.,,Question Albert.io Titration Curves,Yes,Yes
14,TITRATION-14,Consider a monoprotic weak acid solution of $50 mL$ at a concentration of $0.500 M$. $30 mL$ of a strong base with the same molarity is added slowly to the solution. Where would be this particular point in the titration curve below?,medium,,,,Between points 2 and 3,"In a $50 mL$ solution of $0.500 M HA$, we can determine how many moles of HA are present initially:

Moles of OH^-^ = 0.03 x 0.500
Moles of OH^-^ = 0.015 moles

Since the neutralization reaction is one to one, then $0.015 moles$ of the acid would be neutralized by adding the base, which results in the same amount of moles of A^-^ (conjugate base) to be produced. So after the addition:

Moles of HA = 0.010 moles
Moles of A^-^ = 0.015 moles
Moles of OH^-^ = 0

So more than half of the HA moles have been neutralized, to the point that the A^-^ ions are at a higher concentration than the weak acid, meaning that it's passed point 2 the half-equivalence point but not at the equivalence point yet since $0.010 moles$ of the acid are still left to be neutralized.
",,Between points 1 and 2,Since more than half of the weak acid has been neutralized then it's passed point 2 by now.,,Point 2,"This point is the half-equivalence point, at which $[HA] = [A^-^]$, but after adding that amount of base, this would not be the case.",,Point 4,At this point OH^-^ is the major species in the solution and the titration already went long past the equivalence point.,,Question Albert.io Equivalence Point on Graph,Yes,Yes
15,TITRATION-15,"Consider a weak acid with a $pKa = 4$ that's in solution with its conjugate base. If the pH of the solution is 5, what would the ratio [Conjugate Acid]/[Conjugate Base] be?",medium,,,,[Conjugate Acid]/[Conjugate Base] = 1/10,"Knowing the pH already, we can just follow the Henderson-Hasselbalch equation to easily calculate the ratio:

pH = pKa + log([Conjugate Base]/[Conjugate Acid])
[Conjugate Base]/[Conjugate Acid] = 10^pH - pKa^
[Conjugate Acid]/[Conjugate Base] = 1/10^pH - pKa^

Replacing the values:

[Conjugate Acid]/[Conjugate Base] = 1/10^5 - 4^
[Conjugate Acid]/[Conjugate Base] = 1/10



",,[Conjugate Acid]/[Conjugate Base] = 10,This would be true for the ratio [Conjugate Base]/[Conjugate Acid],,[Conjugate Acid]/[Conjugate Base] = 1,"This would be true for an equimolar buffer solution, but this is not the case for this solution.",,[Conjugate Acid]/[Conjugate Base] = 2,"If this was the ratio, the pH would be around 3.7 instead of 5. Try following the Henderson Hasselbalch to easily determine it.",,Question Albert.io Approximating the pH of a HCOOH Buffer,Yes,Yes
16,TITRATION-16,Take into consideration the following titration curve. What would be the Kb of the conjugate base of the weak acid that's being titrated?,medium,,,,10^-11^,"By taking a look at the graph it's possible to identify that at the half-equivalence point the pH is about 3, being this value also the one for the pKa of the weak acid. We can then calculate the Kb for it's conjugate base:

Kb = 10^-14^/10^-3^
Kb = 10^-11^",,10^-3^,This would be the value for the Ka of the weak acid instead of the Kb of its conjugate base.,,10^-6^,This would be the value for the [OH^-^] at the equivalence point  instead of the Kb of the conjugate base.,,10^-8^,This would be the value for the [H^+^] at the equivalence point  instead of the Kb of the conjugate base.,,Question Albert.io Acid Base Equilibria: Determination of Ka,Yes,Yes
17,TITRATION-17,"According to the following graph, what is accurate about each point in the titration of a weak acid (HA) with a strong base?",hard,,,,"1: [A^-^] ≈ 0
2: [HA] = [A^-^]
3: 2[HA] = [A^-^]
4: [HA] ≈ 0","At the beginning of the curve there is only HA (weak acid) that gets dissociated slightly into its ions (including A^-^).

Halfway to the equivalence point, the point of maximum buffering capacity of the solution, $[HA] = [A^-^]$.

After that, by adding more strong base the [HA] gets neutralized while the [A^-^] gets produced, so at the half-point between the half-equivalence point and the equivalence point, there is double the concentration of A^-^ ions compared to the concentration of HA.

At the equivalence point of the curve there is only A^-^ (weak base) that slightly produces HA.",,"1: [A^-^] ≈ 0
2: [HA] = [A^-^]
3: [HA] = 2[A^-^]
4: [HA] ≈ 0","Through the titration, the [HA] gets neutralized while the [A^-^] gets produced, so at the half-point between the half-equivalence point and the equivalence point, there is double the concentration of A^-^ ions compared to the concentration of HA and not the other way around.",,"1: [HA] ≈ 0
2: [HA] = [A^-^]
3: 2[HA] = [A^-^]
4: [A^-^] ≈ 0","At the beginning of the curve there is only HA (weak acid) that gets dissociated slightly into its ions (including A^-^), so its concentration cannot be close to 0.",,"1: [A^-^] ≈ 0
2: 2[HA] = [A^-^]
3: [HA] = [A^-^]
4: [HA] ≈ 0","Halfway to the equivalence point, the point of maximum buffering capacity of the solution, $[HA] = [A^-^]$.",,Question Albert.io Titration Curve for a Weak Acid,Yes,Yes
18,TITRATION-18,"A student is titrating a solution with $0.25 moles$ of a monoprotic weak acid (HA, $Ka = 2.7x10^-5^$) with a strong base. What would be the pH at the equivalence point? (Consider the volume of the solution at that point to be $500 mL$)",medium,,,,9.1,"Hypothetically this weak acid gets neutralized like this:

HA + OH^-^ ⇄ A^-^ + H_2_O

So for each mole of HA that gets neutralized, one mole of A^-^ ions gets produced. After neutralizing $0.25 moles$ of the weak acid, at the equivalence point there should be $0.25. moles$ of its conjugate base, A^-^. Knowing the volume, we can calculate its concentration at that point:

[A^-^] = Moles of A^-^/Volume of solution
[A^-^] = 0.25 / 0.5
[A^-^] = 0.5 M

Considering ""X"" as the amount of A^-^ that reacts with water to produce HA, we can write the Kb expression for this weak base as:

Kb = [HA][OH^-^]/[A^-^]
Kw/Ka = (X)(X)/(0.5 - X)

Since X is a very small number, we can assume $(0.5 - X)$ as 0.5. Replacing the values:

10^-14^/2.7x10^-5^ = (X)^2^/0.5
X = 1.36x10^-5^ M

Since this is the concentration of OH^-^ ions, we can calculate the pH:

pH = 14 - (-log(1.36x10^-5^ ))
pH = 9.1
",,4.9,This would be the pOH value at the equivalence point and not the pH which is what is asked for.,,4.6,"This would be the pKa value of the weak acid, and therefore, the pH at the half equivalence point and not the pH 
 at the equivalence point which is what is asked for.",,9.4,This would be the pKb value of the weak base and not the pH which is what is asked for.,,Question Albert.io Half Equivalence Point ,Yes,Yes
19,TITRATION-19,"In a titration, what is one thing that the pH at the equivalence point can indicate about the weak acid that's being titrated?",medium,,,,The higher the pH is the weaker is the acid,"At the equivalence point in theory what's mostly left in solution is its conjugate base. The stronger is this base, the higher the pH would be at this point. Since the strength of the weak acid and its conjugate base are inversely proportional $(Kw = Ka x Kb)$, that means that the stronger is the conjugate base, the weaker is the acid.",,The lower the pH is the weaker is the acid,"A low pH at the equivalence point means the conjugate base is weak, meaning the weak acid is stronger (and not weaker).",,The higher the pH is the stronger is the acid,"A high pH at the equivalence point means the conjugate base is strong, meaning the weak acid is weaker (and not stronger).",,There is no relationship between the pH at the equivalence point and the strength of the acid,"There is a relationship since at the equivalence point the reason why the pH isn't 7 is because of the concentration of the conjugate base of the weak acid, and their strengths are directly related to each other.",,Question Albert.io Comparing Two Acidic Solutions,Yes,Yes
20,TITRATION-20,A monoprotic weak acid and a strong base are mixed in equimolar quantities in a solution. What would be the value of the pH?,medium,,,,pH > 7,"In a mixture like that, the weak acid gets fully neutralized by the strong base, resulting in the production of its conjugate base. The presence of this conjugate base in water produces small quantities of the weak acid and OH^-^ ions, which ultimately raise the pH above its neutral value.",,pH < 7,"In a mixture like that, the weak acid gets fully neutralized by the strong base, resulting in the production of its conjugate base. At that point there wouldn't be any weak acid left nor any other acidic ion, so the pH wouldn't be lower than 7.",,pH = 7,"In a mixture like that, the weak acid gets fully neutralized by the strong base, resulting in the production of its conjugate base. In the case of a strong acid and base, their leftover ions don't affect the pH, so the pH is 7, but in this case the conjugate base does affect the pH of the solution.",,Not enough information,There is enough information. Try determining what ions are left after a weak acid gets totally neutralized by a strong base.,,Question Albert.io Hydrochloric Acid and Ammonia,Yes,Yes
21,TITRATION-21,"This graph represents the titration of a diprotic weak acid with a strong base. A total volume of $500 mL$ was required to fully neutralize this acid. Considering both substances are at the same concentration, what would have been the initial volume of the weak acid?",medium,,,,250 mL,"A diprotic acid has two hydrogen atoms that are susceptible to be dissociated into hidronium ions when in water, which is why there are two equivalence point in the curve. For each mole of this weak acid, two moles of the strong base are required in total to neutralize it, so if the solutions are at the same concentration, then half of the volume of the base would be the initial volume of the weak acid.",,500 mL,This would be true for a monoprotic acid but this is the case of a diprotic acid.,,750 mL,This would be too much volume and $500 mL$ of the strong base wouldn't be enough to neutralize such solution.,,1 L,This would be way too much volume and $500 mL$ of the strong base would not even be close to fully neutralize such solution.,,Question Albert.io Concentration at Second Equivalence Point,Yes,Yes
22,TITRATION-22,"According to the following graph, what is accurate about each point in the titration of a diprotic weak acid (H_2_A) with a strong base (NaOH)? Consider the neutralization reaction like this:

H_2_A + NaOH ⇄ NaHA + H_2_O
NaHA + NaOH ⇄ Na_2_A + H_2_O",hard,,,,"A: Mostly H_2_X
B: Approximately equal parts of H_2_X and HX^-^
C: Mostly HX^-^
D: Approximately equal parts of HX^-^ and X^-2^
E: Mostly X^-2^
F: Mostly Na^+^ and OH^-^","At the beginning of the curve there is only H_2_A (weak acid) that gets dissociated slightly into its ions.

At the first half-equivalence point there is approximately equal parts of H_2_A and HA^-^.  (There would be in theory slightly more HA^-^).

At the first equivalence point, there would be mostly HA^-^ left (apart from the Na^+^ ions) in solution, which dissociates slightly into its ions H^+^ and A^-2^.

At the second half-equivalence point there is approximately equal parts of HA^-^ and A^-2^.  (There would be in theory slightly more A^-2^).

At the first equivalence point, there would be mostly A^-2^ left (apart from the Na^+^ ions) in solution, which is a weak base that reacts with water to produce small amounts of OH^-^ ions and HA^-^ ions.

By keep adding the strong base, from that point on the concentration of OH^-^ keeps going up without resistance. ",,"A: Mostly HX^-^
B: Approximately equal parts of H_2_X and HX^-^
C: Mostly H_2_X
D: Approximately equal parts of HX^-^ and X^-2^
E: Mostly X^-2^
F: Mostly Na^+^ and OH^-^","At the beginning of the curve there is only H_2_A (weak acid) that gets dissociated slightly into its ions, which is a very small quantity when comparing it to the H_2_A concentration.",,"A: Mostly H_2_X
B: Approximately equal parts of H_2_X and HX^-^
C: Mostly HX^-^
D: Approximately equal parts of HX^-^ and X^-2^
E: Mostly X^-2^
F: Mostly Na^+^ and H^+^",From the second equivalence point and on the pH is basic since the OH^-^ ions keep adding up without any resistance.,,"A: Mostly H_2_X
B: Approximately equal parts of H_2_X and HX^-^
C: Mostly HX^-^
D: Approximately equal parts of HX^-^ and X^-2^
E: Mostly H_2_X
F: Mostly Na^+^ and OH^-^","At the second equivalence point (E) there wouldn't be much of H_2_X since it's been neutralized to that point and as a result, its ions are the ones present in solution, more specifically A^-2^ ions.",,Question Albert.io Relative Concentrations in a Diprotic Acid Titration,Yes,Yes
23,TITRATION-23,"""Acids can release a proton and bases can accept a proton"". This definition for acids and bases is attributed to:",easy,,,,Brønsted-Lowry,Brønsted-Lowry acids are substances that can release a proton and bases are substances that can accept a proton. This is a definition that encompasses more substances than the Arrhenius theory.,,Lewis,The Lewis theory is based on the sharing and acceptance of electron pairs. ,,Arrhenius,The Arrhenius definition is only based on H^+^ and OH^-^ ions.,,It's just a broad definition of acids and bases,"There are three theories that define acids and bases and their interactions with each other and others substances. Arrhenius, Brønsted-Lowry and Lewis theories.",,Question 38. AP College Board 1999,Yes,Yes
24,TITRATION-24,"A student prepares a $200 mL$ solution of $0.01 M Ba(OH)_2_$ in a beaker and titrates it with $0.06 M HCl$. After the addition of $100 mL$ of the titrant, what would the pH of the solution?",medium,,,,2.17,"In a $200 mL$ solution of $0.01 M Ba(OH)_2_$, we can determine how many moles of OH^-^ are present initially:

Moles of OH^-^ = 0.05 x 0.100 x 2. Note: Each mole of this strong acid results in 2 moles of OH^-^.
Moles of OH^-^ = 0.004 moles

In the $100 mL$ added of $0.06 M HCl$, we can do the same thing:

Moles of H^+^ = 0.06 x 0.100
Moles of H^+^ = 0.006 moles

Because H^+^ and OH^-^ ions react with each other to produce water, it's said that they're neutralized by each other, following this reaction: $OH^-^ + H^+^ → H_2_O$.

To determine what's left after this reaction:

Moles left = 0.006 - 0.004
Moles left of H^+^ = 0.002 moles

Let's calculate the concentration of ions in the solution:

[H^+^] = Moles of H^+^ / Total Volume
[H^+^] = 0.002 / (0.100 + 0.200)
[H^+^] = 0.0066 M

Given the pH equation:

pH = -log[H^+^]
pH = -log(0.0066)
pH = 2.17",,2,"Remember to sum up the volumes together. Initially there was $0.200 L$ of base and then $0.100 L$ was added, coming to a total of $0.300 L$.",,1.87,This is not the pH of the solution. Take into account that each mole of the strong base Ba(OH)_2_ results in 2 moles of OH^-^ ions.,,2.22,This is not the pH of the solution. The pH would have to be calculated based on the moles of ions left after the neutralization reaction.,,Question Albert.io pH of a Mixture,Yes,Yes
25,TITRATION-25,Consider a solution that has a pOH of 2.4 at 25 °C. Would you consider this solution to be..?,easy,,,,Basic,It's a basic solution given its pOH is smaller than 7 at standard conditions.,,Acidic,It's not an acidic solution. The smaller the pOH value than the more basic is the solution.,,Neutral,"A pH of 7 is considered neutral at standard conditions, and since this pH is different than 7 then it's not neutral.",,Cannot be determined with this information,With the pOH it can be determined if the solution is considered acidic or basic.,,Question Albert.io Hydroxide Ion Concentration,Yes,Yes
26,TITRATION-26,The higher is the pKb of a weak base...,easy,,,,The lower is the pH and the concentration of hydroxide ions,"Given that pKb is -log[Kb], the higher it is then the lower it is the actual Kb of the weak base. Meaning that if the pKb increases both the pH and [OH^-^] decrease instead.",,The higher is the pOH and the concentration of hydroxide ions,If the pOH increases the [OH^-^] cannot increase too at the same time.,,The higher is the pH and the Ka of its conjugate acid,Given how $Ka = Kw/Kb$ If the Kb increases then the Ka of its conjugate acid would decrease instead.,,The lower is the pOH and the Kb of the weak base,"If the Kb decreases, this means that the weak base has less dissociative power, so it attracts fewer hydronium ions, resulting in a lower concentration of OH^-^ ions and ultimately in a higher pOH.",,Question Albert.io pKa and Hydroxide Ion Concentration,Yes,Yes
27,TITRATION-27,"A student prepares a $200 mL$ solution of $0.300 M HA (hypothetical weak acid)$ in a beaker and titrates it with $0.100 M KOH$. After the addition of $100 mL$ of the titrant, what would the pH of the solution be? (Note: The Ka of HA is 6.0x10^-5^).",medium,,,,3.5,"In a $200 mL$ solution of $0.300 M HA$, we can determine how many moles of HA are present initially:

Moles of HA = 0.200 x 0.300
Moles of HA = 0.06 moles

In the $100 mL$ added of $0.100 M KOH$, we can do the same thing:

Moles of OH^-^ = 0.100 x 0.100
Moles of OH^-^ = 0.01 moles

The acid HA reacts with the strong base KOH and gets neutralized, following this reaction:

KOH + HA → H_2_O + KA

Initially, there are:

Moles of KOH = 0.01 moles
Moles of HA = 0.06 moles
Moles of KA (or A^-^) = 0

After the neutralization reaction, what's left is:

Moles of KOH = 0
Moles of HA = 0.05 moles
Moles of KA (or A^-^) = 0.01 moles

Knowing this, we consider how the remaining HA dissociates:

HA ⇄ H^+^ + A^-^

Considering ""X"" as the amount of HA that gets dissociated into its ions, we can write the Ka expression for this weak acid as:

Ka = [H^+^][A^-^]/[HA]
Ka = (X)(0.01 + X)/(0.05 - X)

Since X is a very small number, we can assume $(0.01 + X)$ as 0.01 and $(0.05 - X)$ as 0.05. Solving for X: $X = Ka[HA]/[A^-^]$. Replacing the values:

X = 6x10^-5^(0.01)/(0.05) (Note: In this case since the volumes are equal, the direct values of the moles can be used)
X = 3.2x10^-4^ M

This is also the amount of hidronium ions that are now dissolved in the solution. Given the pH equation: $pH = -log([H^+^])$, let's just replace:

pH = -log(3.2x10^-4^)
pH = 3.5

Another more direct way to calculate it is using directly the Henderson–Hasselbalch equation when there is present of a weak acid/base conjugate pair:

pH = pKa + log ([A^-^]/[HA])
pH = -log(6x10^-5^) + log(0.01/0.05)
pH = 3.5 ",,2.5,This the value you've gotten if you calculated the dissociation of what was left of the weak acid without taking into account its conjugate base that's present after the neutralization reaction.,,4.2,This is not the pH of the solution. This is just the pKa of the weak acid.,,0.5,This is the value you've gotten if you calculated the pH just from the molarity of the weak acid which is not correct.,,Question Albert.io pH of a Weak Acid and Weak Base,Yes,Yes
